STATIONCODE,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N,Weather,WindSpeed,WindDirection,e-source-type,e-source-distance(km),se-source-type,se-source-distance(km),s-source-type,s-source-distance(km),sw-source-type,sw-source-distance(km),w-source-type,w-source-distance(km),nw-source-type,nw-source-distance(km),n-source-type,n-source-distance(km),ne-source-type,ne-source-distance(km),heating season
XH808A016091800673,411.4,751.77,445.67,1132.47,77.67,80.27,27,84.9,2017/8/1 0:00,6000.8,2894.1,608.53,36.67,2,1.7,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,400.55,717.79,567.97,1076.03,54.17,55.86,27,82.31,2017/8/1 1:00,4441.9,2075.83,410.69,25.07,2,1.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,378.13,672.43,578.5,980.4,55.03,56.87,26.7,81.8,2017/8/1 2:00,4364.73,2061.97,422.2,27.17,2,2.3,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,397.7,681.5,562.5,993.93,63.93,66.43,26,85.3,2017/8/1 3:00,5043.9,2410.97,500.47,33.13,2,1,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,390.67,685.1,563.63,1024.7,76.27,80.47,26,87.63,2017/8/1 4:00,5890.7,2864.83,621.77,48.63,2,1.1,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,421.07,643.17,676.8,931.43,91.07,94.23,26,88.97,2017/8/1 5:00,6999.97,3434.43,712.73,45.5,2,0.6,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,611.53,585.83,843.77,931.83,124.3,129.3,26,88.8,2017/8/1 6:00,9245.1,4634.27,961.7,60.77,2,1.5,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,802.87,573.3,852.03,936.3,122.8,128.97,26.2,88.33,2017/8/1 7:00,9024.93,4538.37,967.47,66.3,2,2.3,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,712.53,596.8,835.33,1024.1,119.53,126.23,27.23,85.77,2017/8/1 8:00,8553.83,4336.77,944.93,64.07,2,3,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,593.27,618.3,828.77,1061.87,128.7,137.03,28.57,80.57,2017/8/1 9:00,8494.23,4549.07,1065.27,76.07,2,2.7,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,531.93,626.77,798.8,1074.7,147.07,159.53,29.9,77.73,2017/8/1 10:00,8928.47,4948.67,1224.23,89.17,2,3.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,383.83,707.37,475.6,1123,67.73,71.93,30.1,73.03,2017/8/1 11:00,4944.73,2507.5,532.53,35.9,2,1.8,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,328.67,812.63,386.6,1292.03,49.47,51.93,32.33,68.53,2017/8/1 12:00,3732.13,1794.27,364,21.03,2,2.1,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,308.6,857.6,301.6,1311.03,41.47,43.37,33.53,65.33,2017/8/1 13:00,3299.17,1530.8,299.27,16.87,2,3.8,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,300.77,929.57,163.57,1404.23,35.7,36.53,33.6,63.87,2017/8/1 14:00,3008.77,1360.8,257.7,13.63,2,2.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,318.8,953.33,159.6,1408.97,33.47,34.57,32.97,65.73,2017/8/1 15:00,2813.1,1253,236.03,13.23,,,,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,326.1,972.43,166.73,1442.03,32.6,33.77,33,67.33,2017/8/1 16:00,2730.37,1201.83,230.4,13.87,2,4.7,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,316.6,921.9,220.63,1322.3,21.4,21.97,32.3,67.37,2017/8/1 17:00,1838.43,791.13,154.8,8.8,6,3.9,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,327.87,886.4,242.83,1245.4,22.17,22.43,31.4,71.53,2017/8/1 18:00,1942.23,833.43,155.6,9.23,6,3.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,332.27,836.53,346.3,1178.6,14.9,15.2,30.33,73.53,2017/8/1 19:00,1474.87,571.8,108.5,7.93,6,3.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,336.87,784.17,414.2,1083.73,8.77,8.77,29.57,73.4,2017/8/1 20:00,978.63,344.93,67.53,5.17,6,2.9,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,334.47,724.13,497.33,973.1,11.1,11.4,29,77.27,2017/8/1 21:00,1151.6,440.23,88.97,7.17,6,3,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,363.07,676.83,624.37,885.9,17.6,18.17,28.27,81.6,2017/8/1 22:00,1612.67,679.2,139.4,9.77,6,3.1,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,369.6,659.33,639,861.47,26.13,27.33,27.47,85.37,2017/8/1 23:00,2314.17,1017.07,202.3,14.13,6,2.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,334.3,666.77,550.6,856.2,28.63,29.3,27,86.43,2017/8/2 0:00,2376.37,1084.33,227.57,14.17,6,0.9,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,337.73,640.87,596.1,832.6,42.2,43.93,27,87.67,2017/8/2 1:00,3183.1,1558.63,347.9,23.33,6,1.2,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,368.87,610.4,660.67,789.9,52.77,55.33,27,88.03,2017/8/2 2:00,3810.07,1917.53,437.1,29.83,6,1.2,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,392.4,589.9,689.63,779.3,70.23,75.03,27,88.83,2017/8/2 3:00,4507.83,2415.77,614.53,45.57,6,1.5,8,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,575.47,563.37,787.73,786.63,98.33,106.17,27,89.5,2017/8/2 4:00,6377.57,3389.63,861.33,68.57,6,1.8,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,552.9,563.43,748.63,817.4,104.63,114.27,27,90.2,2017/8/2 5:00,6665.37,3555.6,917.57,79.3,6,1.1,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,641.8,536.27,820.93,790.83,102.47,110.73,27,91,2017/8/2 6:00,6763.37,3546.73,874.03,70.53,6,1.1,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,407.67,538.27,739.37,788.73,93.57,102.53,27.27,90.67,2017/8/2 7:00,5664.07,3106.57,838.93,73.27,6,1.8,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,383.23,570.43,696.77,827.8,74.43,82.07,28.1,88.97,2017/8/2 8:00,4640.07,2496.9,666.47,58.77,6,2.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,370.28,637.76,656.64,939.64,60.52,67.2,29.96,82.56,2017/8/2 9:00,3862.76,2010.32,522.88,46.92,6,2.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,356.93,684.73,646.93,967.2,47.97,52.6,32,75.9,2017/8/2 10:00,3380.37,1653.33,384.03,31.83,6,3.7,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,348.97,711.3,625,994.8,40.07,42.93,32.43,74.23,2017/8/2 11:00,3100.83,1431.9,303.17,23.83,7,3.5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,359.93,823.93,459.5,1162.9,21.07,22.17,33.67,70.07,2017/8/2 12:00,1868.43,769.73,156.03,12.83,7,4.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,313.27,888.53,342.5,1238.23,17.83,18.27,35.03,64.73,2017/8/2 13:00,1668.67,674.03,133.1,9.93,7,5,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,299.83,903.53,393.77,1250.3,16.57,17.03,35,64.83,2017/8/2 14:00,1621.1,645.23,126.2,9.77,7,4.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,298.67,885.17,355.87,1188.03,15.03,15.67,34.87,64.37,2017/8/2 15:00,1446.83,577.13,119.3,10.43,7,4.4,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,303.6,863.07,435.4,1122.8,13.8,14.13,34.07,65.6,2017/8/2 16:00,1354.8,533.97,107.53,9.07,7,4.8,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,290.07,866.5,364.23,1129.37,13.3,13.77,33.2,66.9,2017/8/2 17:00,1252.63,488.5,102.57,8.83,,,,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,294,867.67,307.8,1107.17,14.33,14.8,32.47,69.57,2017/8/2 18:00,1343.8,533.8,110.13,9.53,11,5.3,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
XH808A016091800673,308.23,814.9,433.63,1044,17.73,18.17,31.53,73.37,2017/8/2 19:00,1650.03,654.4,134.4,10.6,11,2.7,2,6,6.5,7,5.9,6,4,3,2.4,6,13.2,0,0,0,0,6,10.5,0
