Feature1,Feature2,Original_Correlation,Cleaned_Correlation,Difference,Original_p_value,Cleaned_p_value
PM25,PM05N,0.057313184814327185,0.7856068896825966,0.7282937048682694,2.3923906884780758e-08,0.0
PM25,PM1N,0.056438292757276444,0.7758861410691636,0.7194478483118872,3.893905401592277e-08,0.0
PM25,PM10,0.05432280119042621,0.7712680679218317,0.7169452667314055,1.227896848173426e-07,0.0
PM25,PM25N,0.05263062670900852,0.752498522494853,0.6998678957858445,2.9864868522599123e-07,0.0
PM25,PM10N,0.045479298290069,0.7021100783108443,0.6566307800207752,9.544572406157562e-06,0.0
CO,PM25,0.030976607582802313,0.5214511977926467,0.4904745902098444,0.0025730009430357556,0.0
PM25,HUMIDITY,0.014449096495803896,0.4019901453682104,0.38754104887240653,0.1597503120111035,0.0
PM25,WindSpeed,-0.009934177680861678,-0.2848367687942847,-0.274902591113423,0.34008914663453155,3.291700638061942e-176
SO2,PM25,0.015525057018044464,0.23254361967458376,0.2170185626565393,0.1308863012830719,1.823434071281583e-116
NO2,PM25,-0.00381619581115811,-0.10187404134687078,-0.09805784553571267,0.7104128229949139,2.850707004301155e-23
CO,SO2,0.4054523210754099,0.3105357296429519,-0.09491659143245801,0.0,9.139610325604975e-211
PM1N,PM10N,0.9376574686126347,0.8575508468288673,-0.08010662178376737,0.0,0.0
PM10,PM10N,0.9448472436814083,0.8654072838767259,-0.07943995980468233,0.0,0.0
NO2,O3,0.9267801875282741,0.8551962288621684,-0.07158395866610567,0.0,0.0
PM05N,PM10N,0.9238949449600685,0.8544322250276327,-0.0694627199324358,0.0,0.0
PM25N,PM10N,0.9704671863319724,0.9126912734135534,-0.05777591291841899,0.0,0.0
PM10,TEMPERATURE,0.002741014049467153,0.04722376403277343,0.04448274998330628,0.7897078228518534,4.2811351974212135e-06
TEMPERATURE,PM1N,-0.031274909655941305,0.012589053347324344,0.04386396300326565,0.0023371427973612555,0.2206082584537769
TEMPERATURE,PM25N,-0.08719026461595647,-0.04584143636336369,0.04134882825259278,1.904937152829741e-17,8.099699775734698e-06
PM25N,heating season,0.058711943558034906,0.01754468738219523,-0.041167256175839675,1.0818803174046564e-08,0.0877926439704661
TEMPERATURE,PM05N,-0.030155094184416947,0.010047445288381963,0.04020253947279891,0.003339396423146875,0.3282720434275213
O3,PM25N,-0.07446720340703221,-0.034555489449287456,0.03991171395774475,4.003833909747057e-13,0.0007706876597561516
O3,PM10,0.00597861539023401,0.04574197731014696,0.03976336191991295,0.5607686336464801,8.47421622968948e-06
PM1N,heating season,0.011336417703523387,-0.026695155630211125,-0.03803157333373451,0.27001723743809136,0.00938249843579439
PM25,TEMPERATURE,0.001334811659115453,-0.03636260129784021,-0.03769741295695567,0.8966678450003697,0.00040148789652237865
PM05N,WindSpeed,-0.3145860647833624,-0.2768924390766241,0.03769362570673829,5.4512869823501765e-211,3.085687759578862e-166
O3,PM1N,-0.022123987191643348,0.015478337784235534,0.037602324975878884,0.03133144268990754,0.13204929660149461
NO2,PM10,-0.06084106453537557,-0.023260111263266957,0.037580953272108614,3.1214978738360946e-09,0.023609774326538845
PM10,heating season,-0.015313382967433845,-0.0517502623764028,-0.03643687940896896,0.13621967271841068,4.6927659043228474e-07
NO2,PM1N,-0.09267792446555981,-0.05645063448976861,0.0362272899757912,1.6156258668764764e-19,3.867431179574163e-08
PM05N,heating season,0.012812207104478886,-0.022782697739545874,-0.03559490484402476,0.21253433334013128,0.026626390581650648
PM1N,WindSpeed,-0.30762190489625413,-0.2725126842300847,0.03510922066616945,2.2566312516596774e-201,7.0252625971619755e-161
NO2,PM25N,-0.14860642154744313,-0.11349802799541556,0.03510839355202758,6.799061482036551e-48,1.59147017449109e-28
CO,PM10,0.5419807858371779,0.507051890925155,-0.03492889491202289,0.0,0.0
CO,PM05N,0.5443853874470954,0.5097953801256421,-0.03459000732145334,0.0,0.0
CO,PM1N,0.5376305928905595,0.5036251631846923,-0.034005429705867174,0.0,0.0
SO2,PM10,0.21327348461695464,0.17939812369850877,-0.03387536091844587,7.662386723139811e-98,2.5674906752744135e-69
PM10N,heating season,0.1493868686383139,0.11556995419409691,-0.033816914444217,2.1940310355773767e-48,1.6047894341886388e-29
PM1N,PM25N,0.992237960460945,0.9589359799909247,-0.03330198047002031,0.0,0.0
PM10,WindSpeed,-0.29125900996929743,-0.2583527059541115,0.03290630401518596,8.618916621831717e-180,3.126382073910102e-144
PM10,PM25N,0.9919585814050701,0.959620412091282,-0.03233816931378808,0.0,0.0
O3,PM10N,-0.15246613384658883,-0.12015877349916455,0.03230736034742428,2.383108025538973e-50,8.584122853751777e-32
PM05N,PM25N,0.9834242216608552,0.9516469734137879,-0.03177724824706729,0.0,0.0
O3,PM05N,-0.01117346221340078,0.019576820793884727,0.03075028300728551,0.27696325637905234,0.05678946639800691
HUMIDITY,WindSpeed,-0.32656885923189727,-0.2959578172081466,0.030611042023750645,3.7339591442388936e-228,9.984680468579518e-191
PM25N,WindSpeed,-0.2934194302447465,-0.26320631214500556,0.03021311809974092,1.4667927533268303e-182,8.002980540404151e-150
TEMPERATURE,WindSpeed,0.04083160106385726,0.07083240128210004,0.03000080021824278,8.758434366043948e-05,5.186615170706719e-12
NO2,PM05N,-0.08831305953671344,-0.05832641926533219,0.029986640271381246,7.349065754465134e-18,1.3488446177352825e-08
CO,PM25N,0.5163379964474971,0.4864730967851079,-0.0298648996623892,0.0,0.0
PM10,PM05N,0.9882995141507878,0.9595169174692949,-0.028782596681492856,0.0,0.0
SO2,PM1N,0.23272617648933205,0.20425082355542964,-0.02847535293390241,1.1911048125902767e-116,1.0010044524298068e-89
PM10,PM1N,0.9951647495385504,0.9669206155453858,-0.02824413399316461,0.0,0.0
SO2,PM05N,0.2296816311666177,0.20209707970505117,-0.02758455146156652,1.3778489446682277e-113,7.61373552286282e-88
O3,PM25,0.00394296480344245,-0.02283097938440978,-0.026773944187852228,0.7012482838248095,0.026306889147911867
SO2,PM25N,0.2624044508337024,0.23612289586257654,-0.02628155497112586,6.843481634442039e-149,4.031238358755495e-120
SO2,O3,-0.7574384800399796,-0.7329066177002344,0.024531862339745247,0.0,0.0
PM10N,WindSpeed,-0.2613550274989327,-0.23703467303836548,0.02432035446056721,6.604762808669228e-144,4.616549140101036e-121
CO,PM10N,0.4730489167984455,0.45031115860008064,-0.022737758198364877,0.0,0.0
TEMPERATURE,PM10N,-0.1852445515621664,-0.16281672899874158,0.02242782256342482,7.284651448609833e-74,2.9450337180643083e-57
O3,HUMIDITY,0.04673826936730321,0.06841594078810749,0.021677671420804283,5.3663696298203445e-06,2.6574402766245206e-11
PM25,heating season,-0.0004148248230840065,0.019468523612110388,0.019883348435194393,0.9678055033703904,0.05817354950775748
WindSpeed,heating season,0.030215666619574286,0.010435837288945043,-0.019779829330629245,0.0037051399923774034,0.30991888611282437
O3,WindSpeed,0.17249002808932037,0.1920148070044035,0.019524778915083113,1.5701715757884596e-62,2.5263432197103717e-79
CO,TEMPERATURE,0.11679835475613383,0.09766212663821854,-0.019136228117915294,4.0371484819368236e-30,1.6519448490321072e-21
HUMIDITY,PM1N,0.4108886556174034,0.42967154217770814,0.018782886560304746,0.0,0.0
O3,TEMPERATURE,0.7820799523400558,0.7634133256833167,-0.018666626656739127,0.0,0.0
NO2,SO2,-0.7258366249395486,-0.7073656127044358,0.018471012235112827,0.0,0.0
CO,O3,0.00844675163838835,0.02553687675904515,0.0170901251206568,0.4111626692689255,0.012953700128130151
CO,HUMIDITY,0.38128806114000263,0.3979311097592017,0.016643048619199075,0.0,0.0
NO2,PM10N,-0.24147967365034004,-0.22603088369995422,0.015448789950385816,1.0428344964315376e-125,5.669452595795757e-110
O3,heating season,-0.5120517986949431,-0.5274520742338948,-0.015400275538951735,0.0,0.0
HUMIDITY,PM25N,0.3711404400817047,0.38611090408929166,0.014970464007586948,4.73309640844463e-307,0.0
HUMIDITY,PM05N,0.42189450328377714,0.4368282313678191,0.014933728084041975,0.0,0.0
PM10,HUMIDITY,0.4111572646265306,0.4254316254351566,0.014274360808625985,0.0,0.0
CO,heating season,-0.15777379343533585,-0.14368544139801775,0.014088352037318091,7.831688263464253e-54,7.385403429292035e-45
CO,NO2,-0.06022137800033898,-0.04613850650952757,0.01408287149081141,4.5016660940211284e-09,7.072954233235054e-06
HUMIDITY,PM10N,0.27975113011453945,0.267105810393631,-0.012645319720908432,8.689358731915932e-170,2.109673800837241e-154
SO2,PM10N,0.3102553755966347,0.2979331620503666,-0.012322213546268113,2.2763937952322948e-210,2.2468338715322533e-193
NO2,heating season,-0.6073164184747362,-0.6184014016995302,-0.01108498322479401,0.0,0.0
PM05N,PM1N,0.9971996295214496,0.9867796065815551,-0.010420022939894524,0.0,0.0
NO2,WindSpeed,0.13892859652163458,0.14907200933370385,0.010143412812069263,5.563010137596122e-41,3.465238404384754e-48
NO2,HUMIDITY,0.19578110318573627,0.2046584147908527,0.008877311605116428,1.8805638731105845e-82,4.385336237797149e-90
CO,WindSpeed,-0.25176894120690074,-0.24364257175348947,0.008126369453411275,2.4017887137948516e-133,5.278260715512216e-128
NO2,TEMPERATURE,0.8668621342710098,0.8596419698526232,-0.0072201644183865765,0.0,0.0
SO2,heating season,0.3674634623268759,0.3729996550943942,0.005536192767518322,1.3937870992484264e-300,2.35416879363857e-310
SO2,TEMPERATURE,-0.5317984291430023,-0.5371799003494614,-0.005381471206459043,0.0,0.0
SO2,HUMIDITY,0.14708822061549587,0.1463006836492946,-0.0007875369662012632,6.030569584877994e-47,1.853959813775068e-46
SO2,WindSpeed,-0.3728077453307309,-0.37202328154178893,0.0007844637889419803,4.794327189610969e-302,1.286168790030044e-308
TEMPERATURE,HUMIDITY,0.3560731521803332,0.3560731521803332,0.0,4.485743606957415e-281,4.485743606957415e-281
HUMIDITY,heating season,-0.4127933359332151,-0.4127933359332151,0.0,0.0,0.0
TEMPERATURE,heating season,-0.8182919284285068,-0.8182919284285068,0.0,0.0,0.0
